-0.5 -1
-0.512826 -0.591862
-0.551254 -0.185334
-0.615133 0.217979
-0.704209 0.616484
-0.818133 1.00861
-0.956453 1.39281
-1.11862 1.76757
-1.30401 2.1314
-1.51187 2.48287
-1.74139 2.8206
-1.99166 3.14326
-2.2617 3.44956
-2.55044 3.7383
-2.85674 4.00834
-3.1794 4.25861
-3.51713 4.48813
-3.8686 4.69599
-4.23243 4.88138
-4.60719 5.04355
-4.99139 5.18187
-5.38352 5.29579
-5.78202 5.38487
-6.18533 5.44875
-6.59186 5.48717
-7 5.5
-7.40814 5.48717
-7.81467 5.44875
-8.21798 5.38487
-8.61648 5.29579
-9.00861 5.18187
-9.39281 5.04355
-9.76757 4.88138
-10.1314 4.69599
-10.4829 4.48813
-10.8206 4.25861
-11.1433 4.00834
-11.4496 3.7383
-11.7383 3.44956
-12.0083 3.14326
-12.2586 2.8206
-12.4881 2.48287
-12.696 2.1314
-12.8814 1.76757
-13.0435 1.39281
-13.1819 1.00861
-13.2958 0.616484
-13.3849 0.217979
-13.4487 -0.185334
-13.4872 -0.591862
-13.5 -1
-13.4872 -1.40814
-13.4487 -1.81467
-13.3849 -2.21798
-13.2958 -2.61648
-13.1819 -3.00861
-13.0435 -3.39281
-12.8814 -3.76757
-12.696 -4.1314
-12.4881 -4.48287
-12.2586 -4.8206
-12.0083 -5.14326
-11.7383 -5.44956
-11.4496 -5.7383
-11.1433 -6.00834
-10.8206 -6.25861
-10.4829 -6.48813
-10.1314 -6.69599
-9.76757 -6.88138
-9.39281 -7.04355
-9.00861 -7.18187
-8.61648 -7.29579
-8.21798 -7.38487
-7.81467 -7.44875
-7.40814 -7.48717
-7 -7.5
-6.59186 -7.48717
-6.18533 -7.44875
-5.78202 -7.38487
-5.38352 -7.29579
-4.99139 -7.18187
-4.60719 -7.04355
-4.23243 -6.88138
-3.8686 -6.69599
-3.51713 -6.48813
-3.1794 -6.25861
-2.85674 -6.00834
-2.55044 -5.7383
-2.2617 -5.44956
-1.99166 -5.14326
-1.74139 -4.8206
-1.51187 -4.48287
-1.30401 -4.1314
-1.11862 -3.76757
-0.956453 -3.39281
-0.818133 -3.00861
-0.704209 -2.61648
-0.615133 -2.21798
-0.551254 -1.81467
-0.512826 -1.40814
-0.5 -1
